Registry,Project Type Category,Vintage Year,Project Count,project_ids,total_credits_issued,total_credits_retired,total_credits_remaining,retirement_rate
ACR,Afforestation/Reforestation,2009,1,"[""ACR114""]",1119,1004,115,89.7
ACR,Afforestation/Reforestation,2010,1,"[""ACR114""]",42898,2343,40555,5.5
ACR,Afforestation/Reforestation,2011,3,"[""ACR105"", ""ACR114"", ""ACR115""]",3706128,5750,3700378,0.2
ACR,Afforestation/Reforestation,2012,1,"[""ACR114""]",369621,322088,47533,87.1
ACR,Afforestation/Reforestation,2013,1,"[""ACR114""]",477297,421273,56024,88.3
ACR,Afforestation/Reforestation,2014,1,"[""ACR114""]",182626,182626,0,100.0
ACR,Afforestation/Reforestation,2015,1,"[""ACR114""]",1054928,947231,107697,89.8
ACR,Afforestation/Reforestation,2016,1,"[""ACR114""]",165976,67675,98301,40.8
ACR,Afforestation/Reforestation,2017,1,"[""ACR114""]",1107890,992889,115001,89.6
ACR,Afforestation/Reforestation,2018,1,"[""ACR114""]",308550,56802,251748,18.4
ACR,Afforestation/Reforestation,2019,1,"[""ACR114""]",1364185,794802,569383,58.3
ACR,Afforestation/Reforestation,2020,1,"[""ACR114""]",1179164,451975,727189,38.3
ACR,Afforestation/Reforestation,2021,1,"[""ACR114""]",804970,23681,781289,2.9
ACR,Afforestation/Reforestation,2022,1,"[""ACR114""]",716959,77278,639681,10.8
ACR,Bioenergy,2005,1,"[""ACR107""]",316,127,189,40.2
ACR,Bioenergy,2006,1,"[""ACR107""]",352,0,352,0.0
ACR,Bioenergy,2007,1,"[""ACR107""]",342,0,342,0.0
ACR,Bioenergy,2008,1,"[""ACR107""]",128,0,128,0.0
ACR,Electric vehicles,2003,3,"[""ACR132"", ""ACR136"", ""ACR156""]",3832,3832,0,100.0
ACR,Electric vehicles,2004,7,"[""ACR130"", ""ACR132"", ""ACR136"", ""ACR147"", ""ACR149"", ""ACR155"", ""ACR156""]",5689,5689,0,100.0
ACR,Electric vehicles,2005,10,"[""ACR130"", ""ACR132"", ""ACR133"", ""ACR136"", ""ACR141"", ""ACR147"", ""ACR149"", ""ACR155"", ""ACR156"", ""ACR157""]",13528,13428,100,99.3
ACR,Electric vehicles,2006,25,"[""ACR124"", ""ACR130"", ""ACR131"", ""ACR132"", ""ACR133"", ""ACR135"", ""ACR136"", ""ACR137"", ""ACR138"", ""ACR139"", ""ACR140"", ""ACR141"", ""ACR144"", ""ACR145"", ""ACR146"", ""ACR147"", ""ACR148"", ""ACR149"", ""ACR151"", ""ACR152"", ""ACR154"", ""ACR155"", ""ACR156"", ""ACR157"", ""ACR159""]",52424,40585,11839,77.4
ACR,Electric vehicles,2007,33,"[""ACR124"", ""ACR130"", ""ACR131"", ""ACR132"", ""ACR133"", ""ACR134"", ""ACR135"", ""ACR136"", ""ACR137"", ""ACR138"", ""ACR139"", ""ACR140"", ""ACR141"", ""ACR142"", ""ACR143"", ""ACR144"", ""ACR145"", ""ACR146"", ""ACR147"", ""ACR148"", ""ACR149"", ""ACR150"", ""ACR151"", ""ACR152"", ""ACR153"", ""ACR154"", ""ACR155"", ""ACR156"", ""ACR157"", ""ACR158"", ""ACR159"", ""ACR263"", ""ACR264""]",138386,113948,24438,82.3
ACR,Electric vehicles,2008,34,"[""ACR124"", ""ACR130"", ""ACR131"", ""ACR132"", ""ACR134"", ""ACR135"", ""ACR136"", ""ACR137"", ""ACR138"", ""ACR139"", ""ACR140"", ""ACR141"", ""ACR142"", ""ACR143"", ""ACR144"", ""ACR145"", ""ACR146"", ""ACR147"", ""ACR148"", ""ACR149"", ""ACR150"", ""ACR151"", ""ACR152"", ""ACR153"", ""ACR154"", ""ACR155"", ""ACR156"", ""ACR157"", ""ACR158"", ""ACR159"", ""ACR204"", ""ACR207"", ""ACR263"", ""ACR264""]",163974,138144,25830,84.2
ACR,Electric vehicles,2009,32,"[""ACR130"", ""ACR131"", ""ACR132"", ""ACR134"", ""ACR135"", ""ACR136"", ""ACR137"", ""ACR138"", ""ACR139"", ""ACR140"", ""ACR141"", ""ACR142"", ""ACR143"", ""ACR144"", ""ACR145"", ""ACR146"", ""ACR148"", ""ACR149"", ""ACR150"", ""ACR151"", ""ACR152"", ""ACR153"", ""ACR154"", ""ACR155"", ""ACR156"", ""ACR157"", ""ACR158"", ""ACR159"", ""ACR204"", ""ACR207"", ""ACR263"", ""ACR264""]",112296,59508,52788,53.0
ACR,Electric vehicles,2010,31,"[""ACR130"", ""ACR131"", ""ACR134"", ""ACR135"", ""ACR137"", ""ACR138"", ""ACR139"", ""ACR140"", ""ACR141"", ""ACR142"", ""ACR143"", ""ACR144"", ""ACR145"", ""ACR146"", ""ACR148"", ""ACR149"", ""ACR150"", ""ACR151"", ""ACR152"", ""ACR153"", ""ACR154"", ""ACR155"", ""ACR156"", ""ACR157"", ""ACR158"", ""ACR159"", ""ACR188"", ""ACR204"", ""ACR207"", ""ACR263"", ""ACR264""]",63490,63490,0,100.0
ACR,Electric vehicles,2011,3,"[""ACR188"", ""ACR204"", ""ACR207""]",80065,80065,0,100.0
ACR,Electric vehicles,2012,3,"[""ACR188"", ""ACR204"", ""ACR207""]",91789,91789,0,100.0
ACR,Electric vehicles,2013,3,"[""ACR188"", ""ACR204"", ""ACR207""]",104540,104540,0,100.0
ACR,Electric vehicles,2014,3,"[""ACR188"", ""ACR204"", ""ACR207""]",104696,104696,0,100.0
ACR,Electric vehicles,2015,1,"[""ACR188""]",6945,6945,0,100.0
ACR,Electric vehicles,2016,1,"[""ACR188""]",5597,5597,0,100.0
ACR,Electric vehicles,2017,1,"[""ACR188""]",3528,3528,0,100.0
ACR,Electric vehicles,2018,1,"[""ACR188""]",2565,2565,0,100.0
ACR,Electric vehicles,2019,1,"[""ACR188""]",1857,1857,0,100.0
ACR,Forest management,2011,1,"[""ACR212""]",16032,16032,0,100.0
ACR,Forest management,2012,2,"[""ACR211"", ""ACR212""]",4472885,21240,4451645,0.5
ACR,Forest management,2013,5,"[""ACR173"", ""ACR182"", ""ACR189"", ""ACR192"", ""ACR212""]",1190083,69472,1120611,5.8
ACR,Forest management,2014,7,"[""ACR173"", ""ACR182"", ""ACR189"", ""ACR192"", ""ACR199"", ""ACR202"", ""ACR212""]",2419251,87012,2332239,3.6
ACR,Forest management,2015,17,"[""ACR173"", ""ACR182"", ""ACR189"", ""ACR192"", ""ACR199"", ""ACR200"", ""ACR202"", ""ACR211"", ""ACR249"", ""ACR251"", ""ACR257"", ""ACR260"", ""ACR262"", ""ACR265"", ""ACR266"", ""ACR272"", ""ACR303""]",16294597,297903,15996694,1.8
ACR,Forest management,2016,21,"[""ACR173"", ""ACR189"", ""ACR192"", ""ACR199"", ""ACR200"", ""ACR202"", ""ACR211"", ""ACR247"", ""ACR248"", ""ACR255"", ""ACR256"", ""ACR257"", ""ACR260"", ""ACR262"", ""ACR265"", ""ACR266"", ""ACR281"", ""ACR282"", ""ACR288"", ""ACR292"", ""ACR324""]",31791840,0,31791840,0.0
ACR,Forest management,2017,42,"[""ACR182"", ""ACR189"", ""ACR192"", ""ACR199"", ""ACR200"", ""ACR202"", ""ACR210"", ""ACR211"", ""ACR247"", ""ACR248"", ""ACR249"", ""ACR255"", ""ACR256"", ""ACR257"", ""ACR262"", ""ACR265"", ""ACR266"", ""ACR267"", ""ACR268"", ""ACR273"", ""ACR274"", ""ACR276"", ""ACR279"", ""ACR280"", ""ACR281"", ""ACR282"", ""ACR284"", ""ACR288"", ""ACR292"", ""ACR293"", ""ACR303"", ""ACR324"", ""ACR360"", ""ACR371"", ""ACR373"", ""ACR377"", ""ACR378"", ""ACR389"", ""ACR394"", ""ACR424"", ""ACR508"", ""ACR509""]",28178218,128033,28050185,0.5
ACR,Forest management,2018,63,"[""ACR173"", ""ACR182"", ""ACR189"", ""ACR192"", ""ACR199"", ""ACR200"", ""ACR202"", ""ACR210"", ""ACR211"", ""ACR212"", ""ACR247"", ""ACR248"", ""ACR249"", ""ACR255"", ""ACR256"", ""ACR257"", ""ACR260"", ""ACR262"", ""ACR265"", ""ACR266"", ""ACR267"", ""ACR268"", ""ACR269"", ""ACR273"", ""ACR276"", ""ACR279"", ""ACR280"", ""ACR281"", ""ACR282"", ""ACR284"", ""ACR287"", ""ACR288"", ""ACR303"", ""ACR324"", ""ACR360"", ""ACR361"", ""ACR368"", ""ACR371"", ""ACR373"", ""ACR374"", ""ACR375"", ""ACR376"", ""ACR377"", ""ACR378"", ""ACR386"", ""ACR389"", ""ACR393"", ""ACR394"", ""ACR398"", ""ACR417"", ""ACR420"", ""ACR422"", ""ACR423"", ""ACR424"", ""ACR427"", ""ACR441"", ""ACR459"", ""ACR483"", ""ACR499"", ""ACR507"", ""ACR508"", ""ACR509"", ""ACR518""]",14841681,2167736,12673945,14.6
ACR,Forest management,2019,76,"[""ACR173"", ""ACR182"", ""ACR189"", ""ACR192"", ""ACR199"", ""ACR200"", ""ACR202"", ""ACR210"", ""ACR211"", ""ACR212"", ""ACR247"", ""ACR249"", ""ACR255"", ""ACR256"", ""ACR257"", ""ACR260"", ""ACR262"", ""ACR265"", ""ACR266"", ""ACR267"", ""ACR268"", ""ACR269"", ""ACR273"", ""ACR274"", ""ACR276"", ""ACR279"", ""ACR280"", ""ACR282"", ""ACR284"", ""ACR287"", ""ACR288"", ""ACR292"", ""ACR324"", ""ACR360"", ""ACR361"", ""ACR368"", ""ACR371"", ""ACR373"", ""ACR374"", ""ACR375"", ""ACR376"", ""ACR377"", ""ACR378"", ""ACR386"", ""ACR389"", ""ACR394"", ""ACR395"", ""ACR398"", ""ACR416"", ""ACR417"", ""ACR422"", ""ACR424"", ""ACR425"", ""ACR427"", ""ACR428"", ""ACR437"", ""ACR441"", ""ACR458"", ""ACR459"", ""ACR483"", ""ACR499"", ""ACR505"", ""ACR506"", ""ACR507"", ""ACR508"", ""ACR509"", ""ACR518"", ""ACR519"", ""ACR534"", ""ACR579"", ""ACR595"", ""ACR596"", ""ACR634"", ""ACR637"", ""ACR673"", ""ACR698""]",19376347,1945589,17430758,10.0
ACR,Forest management,2020,100,"[""ACR182"", ""ACR189"", ""ACR199"", ""ACR200"", ""ACR210"", ""ACR211"", ""ACR212"", ""ACR247"", ""ACR248"", ""ACR249"", ""ACR256"", ""ACR257"", ""ACR262"", ""ACR265"", ""ACR266"", ""ACR267"", ""ACR268"", ""ACR269"", ""ACR272"", ""ACR273"", ""ACR274"", ""ACR276"", ""ACR279"", ""ACR280"", ""ACR282"", ""ACR284"", ""ACR287"", ""ACR288"", ""ACR292"", ""ACR324"", ""ACR360"", ""ACR361"", ""ACR368"", ""ACR371"", ""ACR373"", ""ACR374"", ""ACR375"", ""ACR376"", ""ACR377"", ""ACR378"", ""ACR386"", ""ACR389"", ""ACR394"", ""ACR395"", ""ACR398"", ""ACR413"", ""ACR416"", ""ACR417"", ""ACR422"", ""ACR424"", ""ACR425"", ""ACR427"", ""ACR437"", ""ACR439"", ""ACR441"", ""ACR458"", ""ACR459"", ""ACR483"", ""ACR499"", ""ACR505"", ""ACR506"", ""ACR507"", ""ACR508"", ""ACR509"", ""ACR518"", ""ACR519"", ""ACR534"", ""ACR539"", ""ACR549"", ""ACR558"", ""ACR562"", ""ACR566"", ""ACR569"", ""ACR571"", ""ACR574"", ""ACR576"", ""ACR579"", ""ACR586"", ""ACR587"", ""ACR588"", ""ACR590"", ""ACR592"", ""ACR595"", ""ACR596"", ""ACR604"", ""ACR613"", ""ACR614"", ""ACR617"", ""ACR628"", ""ACR633"", ""ACR634"", ""ACR637"", ""ACR672"", ""ACR673"", ""ACR680"", ""ACR698"", ""ACR716"", ""ACR722"", ""ACR754"", ""ACR782""]",13295109,2914479,10380630,21.9
ACR,Forest management,2021,122,"[""ACR173"", ""ACR182"", ""ACR189"", ""ACR199"", ""ACR200"", ""ACR210"", ""ACR211"", ""ACR247"", ""ACR248"", ""ACR256"", ""ACR257"", ""ACR262"", ""ACR265"", ""ACR266"", ""ACR267"", ""ACR268"", ""ACR269"", ""ACR274"", ""ACR276"", ""ACR279"", ""ACR280"", ""ACR282"", ""ACR284"", ""ACR287"", ""ACR288"", ""ACR292"", ""ACR324"", ""ACR360"", ""ACR368"", ""ACR371"", ""ACR373"", ""ACR374"", ""ACR375"", ""ACR376"", ""ACR378"", ""ACR386"", ""ACR389"", ""ACR394"", ""ACR398"", ""ACR416"", ""ACR422"", ""ACR424"", ""ACR427"", ""ACR437"", ""ACR439"", ""ACR441"", ""ACR459"", ""ACR483"", ""ACR499"", ""ACR505"", ""ACR506"", ""ACR507"", ""ACR508"", ""ACR509"", ""ACR518"", ""ACR519"", ""ACR534"", ""ACR539"", ""ACR549"", ""ACR554"", ""ACR558"", ""ACR562"", ""ACR566"", ""ACR569"", ""ACR570"", ""ACR571"", ""ACR574"", ""ACR576"", ""ACR586"", ""ACR587"", ""ACR588"", ""ACR590"", ""ACR592"", ""ACR595"", ""ACR596"", ""ACR603"", ""ACR604"", ""ACR613"", ""ACR614"", ""ACR616"", ""ACR617"", ""ACR618"", ""ACR628"", ""ACR632"", ""ACR633"", ""ACR634"", ""ACR637"", ""ACR638"", ""ACR639"", ""ACR643"", ""ACR647"", ""ACR653"", ""ACR664"", ""ACR668"", ""ACR672"", ""ACR673"", ""ACR677"", ""ACR679"", ""ACR680"", ""ACR681"", ""ACR683"", ""ACR684"", ""ACR685"", ""ACR687"", ""ACR690"", ""ACR698"", ""ACR699"", ""ACR701"", ""ACR705"", ""ACR709"", ""ACR716"", ""ACR718"", ""ACR720"", ""ACR722"", ""ACR732"", ""ACR733"", ""ACR734"", ""ACR735"", ""ACR753"", ""ACR754"", ""ACR782"", ""ACR840""]",15058131,2486155,12571976,16.5
ACR,Forest management,2022,135,"[""ACR1006"", ""ACR182"", ""ACR189"", ""ACR199"", ""ACR200"", ""ACR210"", ""ACR211"", ""ACR248"", ""ACR249"", ""ACR262"", ""ACR265"", ""ACR266"", ""ACR267"", ""ACR268"", ""ACR269"", ""ACR274"", ""ACR276"", ""ACR280"", ""ACR282"", ""ACR284"", ""ACR287"", ""ACR288"", ""ACR292"", ""ACR368"", ""ACR371"", ""ACR373"", ""ACR374"", ""ACR375"", ""ACR376"", ""ACR378"", ""ACR386"", ""ACR398"", ""ACR422"", ""ACR424"", ""ACR427"", ""ACR437"", ""ACR439"", ""ACR459"", ""ACR483"", ""ACR499"", ""ACR505"", ""ACR506"", ""ACR518"", ""ACR519"", ""ACR534"", ""ACR549"", ""ACR554"", ""ACR558"", ""ACR562"", ""ACR566"", ""ACR569"", ""ACR570"", ""ACR571"", ""ACR574"", ""ACR576"", ""ACR586"", ""ACR587"", ""ACR588"", ""ACR590"", ""ACR592"", ""ACR595"", ""ACR596"", ""ACR604"", ""ACR613"", ""ACR614"", ""ACR616"", ""ACR617"", ""ACR618"", ""ACR628"", ""ACR632"", ""ACR633"", ""ACR634"", ""ACR637"", ""ACR638"", ""ACR639"", ""ACR643"", ""ACR647"", ""ACR653"", ""ACR664"", ""ACR668"", ""ACR672"", ""ACR677"", ""ACR679"", ""ACR680"", ""ACR681"", ""ACR683"", ""ACR684"", ""ACR685"", ""ACR687"", ""ACR690"", ""ACR699"", ""ACR701"", ""ACR704"", ""ACR705"", ""ACR709"", ""ACR716"", ""ACR718"", ""ACR720"", ""ACR721"", ""ACR732"", ""ACR733"", ""ACR734"", ""ACR735"", ""ACR741"", ""ACR745"", ""ACR751"", ""ACR753"", ""ACR754"", ""ACR781"", ""ACR782"", ""ACR783"", ""ACR785"", ""ACR786"", ""ACR790"", ""ACR801"", ""ACR802"", ""ACR809"", ""ACR821"", ""ACR822"", ""ACR828"", ""ACR840"", ""ACR848"", ""ACR851"", ""ACR852"", ""ACR855"", ""ACR856"", ""ACR860"", ""ACR863"", ""ACR864"", ""ACR865"", ""ACR866"", ""ACR867"", ""ACR873"", ""ACR880"", ""ACR888""]",16479146,1442767,15036379,8.8
ACR,Forest management,2023,107,"[""ACR1006"", ""ACR1015"", ""ACR1029"", ""ACR1054"", ""ACR1057"", ""ACR189"", ""ACR200"", ""ACR248"", ""ACR256"", ""ACR262"", ""ACR265"", ""ACR266"", ""ACR267"", ""ACR268"", ""ACR269"", ""ACR274"", ""ACR276"", ""ACR280"", ""ACR282"", ""ACR284"", ""ACR287"", ""ACR373"", ""ACR398"", ""ACR422"", ""ACR424"", ""ACR439"", ""ACR459"", ""ACR483"", ""ACR499"", ""ACR505"", ""ACR506"", ""ACR518"", ""ACR519"", ""ACR534"", ""ACR554"", ""ACR558"", ""ACR562"", ""ACR569"", ""ACR571"", ""ACR574"", ""ACR576"", ""ACR586"", ""ACR592"", ""ACR595"", ""ACR596"", ""ACR614"", ""ACR616"", ""ACR617"", ""ACR618"", ""ACR628"", ""ACR632"", ""ACR633"", ""ACR634"", ""ACR637"", ""ACR638"", ""ACR672"", ""ACR680"", ""ACR690"", ""ACR699"", ""ACR701"", ""ACR704"", ""ACR705"", ""ACR709"", ""ACR716"", ""ACR721"", ""ACR732"", ""ACR733"", ""ACR734"", ""ACR735"", ""ACR741"", ""ACR745"", ""ACR751"", ""ACR753"", ""ACR754"", ""ACR782"", ""ACR783"", ""ACR785"", ""ACR790"", ""ACR801"", ""ACR802"", ""ACR809"", ""ACR821"", ""ACR822"", ""ACR828"", ""ACR848"", ""ACR851"", ""ACR852"", ""ACR855"", ""ACR856"", ""ACR860"", ""ACR863"", ""ACR864"", ""ACR865"", ""ACR866"", ""ACR867"", ""ACR873"", ""ACR878"", ""ACR879"", ""ACR880"", ""ACR885"", ""ACR888"", ""ACR897"", ""ACR900"", ""ACR910"", ""ACR922"", ""ACR925"", ""ACR942""]",18080703,990847,17089856,5.5
ACR,Forest management,2024,67,"[""ACR1006"", ""ACR1015"", ""ACR1024"", ""ACR1029"", ""ACR1053"", ""ACR1054"", ""ACR1057"", ""ACR189"", ""ACR200"", ""ACR265"", ""ACR268"", ""ACR269"", ""ACR274"", ""ACR284"", ""ACR287"", ""ACR373"", ""ACR459"", ""ACR499"", ""ACR505"", ""ACR506"", ""ACR519"", ""ACR554"", ""ACR555"", ""ACR558"", ""ACR562"", ""ACR569"", ""ACR571"", ""ACR574"", ""ACR595"", ""ACR596"", ""ACR614"", ""ACR616"", ""ACR634"", ""ACR637"", ""ACR638"", ""ACR672"", ""ACR699"", ""ACR701"", ""ACR705"", ""ACR716"", ""ACR721"", ""ACR735"", ""ACR741"", ""ACR745"", ""ACR751"", ""ACR753"", ""ACR754"", ""ACR782"", ""ACR783"", ""ACR790"", ""ACR802"", ""ACR848"", ""ACR851"", ""ACR852"", ""ACR865"", ""ACR866"", ""ACR867"", ""ACR873"", ""ACR878"", ""ACR879"", ""ACR885"", ""ACR888"", ""ACR897"", ""ACR900"", ""ACR942"", ""ACR963"", ""ACR965""]",13888595,338194,13550401,2.4
ACR,Forest management,2025,13,"[""ACR1015"", ""ACR279"", ""ACR506"", ""ACR554"", ""ACR672"", ""ACR735"", ""ACR741"", ""ACR802"", ""ACR851"", ""ACR852"", ""ACR865"", ""ACR866"", ""ACR885""]",760025,14932,745093,2.0
ACR,Fossil gas leaks,2014,1,"[""ACR226""]",280667,0,280667,0.0
ACR,Fossil gas leaks,2015,2,"[""ACR226"", ""ACR243""]",490301,0,490301,0.0
ACR,Fossil gas leaks,2016,3,"[""ACR226"", ""ACR342"", ""ACR367""]",504479,0,504479,0.0
ACR,Fossil gas leaks,2017,3,"[""ACR226"", ""ACR367"", ""ACR388""]",664696,0,664696,0.0
ACR,Fossil gas leaks,2018,7,"[""ACR226"", ""ACR242"", ""ACR367"", ""ACR388"", ""ACR403"", ""ACR407"", ""ACR418""]",677134,0,677134,0.0
ACR,Fossil gas leaks,2019,8,"[""ACR226"", ""ACR242"", ""ACR367"", ""ACR388"", ""ACR403"", ""ACR407"", ""ACR470"", ""ACR493""]",661055,0,661055,0.0
ACR,Fossil gas leaks,2020,16,"[""ACR226"", ""ACR242"", ""ACR367"", ""ACR388"", ""ACR403"", ""ACR418"", ""ACR470"", ""ACR493"", ""ACR537"", ""ACR540"", ""ACR542"", ""ACR546"", ""ACR572"", ""ACR580"", ""ACR607"", ""ACR609""]",637905,0,637905,0.0
ACR,Fossil gas leaks,2021,27,"[""ACR226"", ""ACR242"", ""ACR388"", ""ACR403"", ""ACR407"", ""ACR418"", ""ACR470"", ""ACR493"", ""ACR537"", ""ACR542"", ""ACR544"", ""ACR546"", ""ACR560"", ""ACR572"", ""ACR578"", ""ACR593"", ""ACR594"", ""ACR607"", ""ACR609"", ""ACR610"", ""ACR611"", ""ACR644"", ""ACR651"", ""ACR674"", ""ACR675"", ""ACR694"", ""ACR695""]",1317563,0,1317563,0.0
ACR,Fossil gas leaks,2022,39,"[""ACR226"", ""ACR242"", ""ACR367"", ""ACR388"", ""ACR403"", ""ACR407"", ""ACR470"", ""ACR493"", ""ACR542"", ""ACR544"", ""ACR546"", ""ACR560"", ""ACR572"", ""ACR578"", ""ACR593"", ""ACR594"", ""ACR607"", ""ACR609"", ""ACR610"", ""ACR611"", ""ACR630"", ""ACR644"", ""ACR650"", ""ACR651"", ""ACR669"", ""ACR674"", ""ACR675"", ""ACR694"", ""ACR695"", ""ACR743"", ""ACR746"", ""ACR752"", ""ACR761"", ""ACR771"", ""ACR778"", ""ACR800"", ""ACR806"", ""ACR812"", ""ACR820""]",2005210,2130,2003080,0.1
ACR,Fossil gas leaks,2023,49,"[""ACR242"", ""ACR367"", ""ACR388"", ""ACR403"", ""ACR407"", ""ACR470"", ""ACR493"", ""ACR537"", ""ACR542"", ""ACR544"", ""ACR546"", ""ACR560"", ""ACR572"", ""ACR578"", ""ACR593"", ""ACR594"", ""ACR607"", ""ACR609"", ""ACR610"", ""ACR611"", ""ACR630"", ""ACR644"", ""ACR650"", ""ACR651"", ""ACR669"", ""ACR674"", ""ACR675"", ""ACR682"", ""ACR694"", ""ACR695"", ""ACR731"", ""ACR743"", ""ACR746"", ""ACR752"", ""ACR761"", ""ACR771"", ""ACR778"", ""ACR800"", ""ACR806"", ""ACR807"", ""ACR808"", ""ACR811"", ""ACR812"", ""ACR841"", ""ACR845"", ""ACR883"", ""ACR899"", ""ACR908"", ""ACR911""]",3122394,2154,3120240,0.1
ACR,Fossil gas leaks,2024,55,"[""ACR1009"", ""ACR1011"", ""ACR1051"", ""ACR1123"", ""ACR367"", ""ACR403"", ""ACR407"", ""ACR470"", ""ACR493"", ""ACR537"", ""ACR542"", ""ACR544"", ""ACR545"", ""ACR546"", ""ACR560"", ""ACR572"", ""ACR578"", ""ACR593"", ""ACR594"", ""ACR607"", ""ACR609"", ""ACR610"", ""ACR611"", ""ACR630"", ""ACR644"", ""ACR650"", ""ACR651"", ""ACR669"", ""ACR674"", ""ACR675"", ""ACR682"", ""ACR694"", ""ACR731"", ""ACR743"", ""ACR746"", ""ACR752"", ""ACR761"", ""ACR771"", ""ACR778"", ""ACR800"", ""ACR806"", ""ACR807"", ""ACR808"", ""ACR811"", ""ACR812"", ""ACR841"", ""ACR842"", ""ACR845"", ""ACR850"", ""ACR883"", ""ACR899"", ""ACR906"", ""ACR908"", ""ACR917"", ""ACR931""]",3754203,732,3753471,0.0
ACR,Fossil gas leaks,2025,29,"[""ACR1051"", ""ACR1094"", ""ACR1100"", ""ACR1118"", ""ACR1138"", ""ACR1167"", ""ACR1178"", ""ACR1181"", ""ACR367"", ""ACR407"", ""ACR418"", ""ACR544"", ""ACR545"", ""ACR594"", ""ACR610"", ""ACR630"", ""ACR650"", ""ACR731"", ""ACR752"", ""ACR811"", ""ACR842"", ""ACR845"", ""ACR850"", ""ACR883"", ""ACR899"", ""ACR906"", ""ACR917"", ""ACR940"", ""ACR972""]",1708826,0,1708826,0.0
ACR,Heat recovery,2003,1,"[""ACR162""]",135250,0,135250,0.0
ACR,Heat recovery,2004,1,"[""ACR162""]",164750,0,164750,0.0
ACR,Heat recovery,2005,1,"[""ACR162""]",139035,2168,136867,1.6
ACR,Industrial efficiency,2003,1,"[""ACR102""]",1898382,7666,1890716,0.4
ACR,Industrial efficiency,2004,1,"[""ACR102""]",3004613,0,3004613,0.0
ACR,Industrial efficiency,2005,1,"[""ACR102""]",3081011,10000,3071011,0.3
ACR,Industrial efficiency,2008,1,"[""ACR223""]",319,319,0,100.0
ACR,Industrial efficiency,2009,2,"[""ACR223"", ""ACR457""]",61523,61523,0,100.0
ACR,Industrial efficiency,2010,2,"[""ACR223"", ""ACR462""]",97226,97226,0,100.0
ACR,Industrial efficiency,2011,2,"[""ACR223"", ""ACR463""]",94841,93646,1195,98.7
ACR,Industrial efficiency,2012,3,"[""ACR170"", ""ACR223"", ""ACR464""]",414463,106734,307729,25.8
ACR,Industrial efficiency,2013,10,"[""ACR172"", ""ACR176"", ""ACR179"", ""ACR181"", ""ACR183"", ""ACR184"", ""ACR196"", ""ACR198"", ""ACR223"", ""ACR465""]",955174,109777,845397,11.5
ACR,Industrial efficiency,2014,9,"[""ACR193"", ""ACR195"", ""ACR206"", ""ACR208"", ""ACR221"", ""ACR261"", ""ACR362"", ""ACR365"", ""ACR466""]",1039469,180934,858535,17.4
ACR,Industrial efficiency,2015,14,"[""ACR213"", ""ACR214"", ""ACR225"", ""ACR240"", ""ACR244"", ""ACR252"", ""ACR253"", ""ACR254"", ""ACR285"", ""ACR310"", ""ACR348"", ""ACR366"", ""ACR369"", ""ACR440""]",1222853,291745,931108,23.9
ACR,Industrial efficiency,2016,23,"[""ACR223"", ""ACR271"", ""ACR275"", ""ACR311"", ""ACR312"", ""ACR314"", ""ACR315"", ""ACR316"", ""ACR343"", ""ACR350"", ""ACR351"", ""ACR352"", ""ACR354"", ""ACR356"", ""ACR359"", ""ACR446"", ""ACR451"", ""ACR479"", ""ACR485"", ""ACR491"", ""ACR514"", ""ACR526"", ""ACR527""]",2059974,308691,1751283,15.0
ACR,Industrial efficiency,2017,18,"[""ACR223"", ""ACR357"", ""ACR358"", ""ACR363"", ""ACR370"", ""ACR379"", ""ACR383"", ""ACR385"", ""ACR387"", ""ACR447"", ""ACR450"", ""ACR454"", ""ACR480"", ""ACR486"", ""ACR501"", ""ACR515"", ""ACR528"", ""ACR529""]",2084927,716047,1368880,34.3
ACR,Industrial efficiency,2018,22,"[""ACR223"", ""ACR382"", ""ACR401"", ""ACR404"", ""ACR419"", ""ACR426"", ""ACR429"", ""ACR431"", ""ACR432"", ""ACR433"", ""ACR435"", ""ACR436"", ""ACR448"", ""ACR449"", ""ACR455"", ""ACR481"", ""ACR487"", ""ACR502"", ""ACR516"", ""ACR530"", ""ACR531"", ""ACR573""]",2554864,672023,1882841,26.3
ACR,Industrial efficiency,2019,50,"[""ACR223"", ""ACR382"", ""ACR442"", ""ACR443"", ""ACR444"", ""ACR445"", ""ACR461"", ""ACR468"", ""ACR469"", ""ACR471"", ""ACR472"", ""ACR473"", ""ACR474"", ""ACR475"", ""ACR482"", ""ACR488"", ""ACR492"", ""ACR495"", ""ACR496"", ""ACR497"", ""ACR500"", ""ACR503"", ""ACR510"", ""ACR517"", ""ACR520"", ""ACR521"", ""ACR522"", ""ACR523"", ""ACR532"", ""ACR551"", ""ACR552"", ""ACR556"", ""ACR557"", ""ACR564"", ""ACR568"", ""ACR573"", ""ACR583"", ""ACR584"", ""ACR591"", ""ACR598"", ""ACR599"", ""ACR600"", ""ACR606"", ""ACR646"", ""ACR656"", ""ACR658"", ""ACR660"", ""ACR663"", ""ACR737"", ""ACR772""]",12056982,4018458,8038524,33.3
